pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Arakkonam,7,GEN,Tamil Nadu,S Jagathratchakan,Dravida Munnetra Kazhagam,1562871,1163822,74.50%,306559,26.30%,SWAMIKANNU,male,76.0,TN2024PC07
Arani,12,GEN,Tamil Nadu,Tharaniventhan M S,Dravida Munnetra Kazhagam,1496118,1140261,76.20%,208766,18.30%,SWAMYNATHAN,male,59.0,TN2024PC12
Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munnetra Kazhagam,1350161,730549,54.10%,244689,33.50%,MURASOLI MARAN,male,57.0,TN2024PC04
Chennai North,2,GEN,Tamil Nadu,Dr.Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,1496224,902489,60.30%,339222,37.60%,ARCOT N VEERASAMI,male,54.0,TN2024PC02
Chennai South,3,GEN,Tamil Nadu,T.Sumathy (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,2023133,1099321,54.30%,225945,20.60%,THANGAPANDIAN V,female,61.0,TN2024PC03
Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1519847,1167071,76.80%,103554,8.90%,THOLKAAPPIYAN,male,61.0,TN2024PC27
Coimbatore,20,GEN,Tamil Nadu,Ganapathy Rajkumar P,Dravida Munnetra Kazhagam,2106124,1372833,65.20%,118068,8.60%,Palanisamy,male,58.0,TN2024PC20
Cuddalore,26,GEN,Tamil Nadu,M.K. Vishnuprasad,Indian National Congress,1412746,1031563,73.00%,185896,18.00%,KRISHNASAMY,male,51.0,TN2024PC26
Dharmapuri,10,GEN,Tamil Nadu,Mani. A.,Dravida Munnetra Kazhagam,1524896,1247832,81.80%,21300,1.70%,Aarimuthugoundar,male,55.0,TN2024PC10
Dindigul,22,GEN,Tamil Nadu,Sachithanantham R,Communist Party Of India (Marxist),1607051,1149621,71.50%,443821,38.60%,Rathinavel,male,53.0,TN2024PC22
Erode,17,GEN,Tamil Nadu,K E Prakash,Dravida Munnetra Kazhagam,1538778,1093423,71.10%,236566,21.60%,,,,TN2024PC17
Kallakurichi,14,GEN,Tamil Nadu,Malaiyarasan D,Dravida Munnetra Kazhagam,1568681,1249568,79.70%,53784,4.30%,DEVARASU,male,48.0,TN2024PC14
Kancheepuram,6,SC,Tamil Nadu,Selvam. G,Dravida Munnetra Kazhagam,1748866,1259578,72.00%,221473,17.60%,GANESAN,male,49.0,TN2024PC06
Kanniyakumari,39,GEN,Tamil Nadu,Vijayakumar (Alias) VIJAY VASANTH,Indian National Congress,1557915,1029055,66.10%,179907,17.50%,Vasantha Kumar H,male,40.0,TN2024PC39
Karur,23,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,1429790,1132045,79.10%,166816,14.70%,Sennimalai,female,48.0,TN2024PC23
Krishnagiri,9,GEN,Tamil Nadu,Gopinath K,Indian National Congress,1623179,1166156,71.80%,192486,16.50%,Kondappa Naidu,male,61.0,TN2024PC09
Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1582271,986969,62.40%,209409,21.20%,SUBBURAM,male,54.0,TN2024PC32
Mayiladuthurai,28,GEN,Tamil Nadu,Sudha R,Indian National Congress,1545568,1087708,70.40%,271183,24.90%,RAMAKRISHNAN,female,46.0,TN2024PC28
Nagapattinam,29,SC,Tamil Nadu,Selvaraj V,Communist Party Of India,1345120,973011,72.30%,208957,21.50%,VAITHILINGAM,male,62.0,TN2024PC29
Namakkal,16,GEN,Tamil Nadu,Matheswaran V S,Dravida Munnetra Kazhagam,1452562,1146303,78.90%,29112,2.50%,SELLAPPAN,male,51.0,TN2024PC16
Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munnetra Kazhagam,1428387,1018906,71.30%,240585,23.60%,ANDIMUTHU S K,male,60.0,TN2024PC19
Perambalur,25,GEN,Tamil Nadu,Arun Nehru,Dravida Munnetra Kazhagam,1446352,1129226,78.00%,389107,34.50%,K N NEHRU,male,40.0,TN2024PC25
Pollachi,21,GEN,Tamil Nadu,Eswarasamy K,Dravida Munnetra Kazhagam,1597467,1126045,70.40%,252042,22.40%,KARUPPUSAMY,male,47.0,TN2024PC21
Ramanathapuram,35,GEN,Tamil Nadu,Navaskani K,Indian Union Muslim League,1617688,1109853,68.60%,166782,15.00%,KHADER MEERA KANI,male,44.0,TN2024PC35
Salem,15,GEN,Tamil Nadu,Selvaganapathi T M,Dravida Munnetra Kazhagam,1658681,1304844,78.70%,70357,5.40%,MUTHUSAMY,male,65.0,TN2024PC15
Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1633857,1053419,64.50%,205664,19.50%,P CHIDAMBARAM,male,52.0,TN2024PC31
Sriperumbudur,5,GEN,Tamil Nadu,T R Baalu,Dravida Munnetra Kazhagam,2382119,1440935,60.50%,487029,33.80%,RAJU THEVAR,male,82.0,TN2024PC05
Tenkasi,37,SC,Tamil Nadu,Dr Rani Sri Kumar,Dravida Munnetra Kazhagam,1525439,1039119,68.10%,196199,18.90%,,,,TN2024PC37
Thanjavur,30,GEN,Tamil Nadu,Murasoli S,Dravida Munnetra Kazhagam,1501226,1028706,68.50%,319583,31.10%,SHANMUGASUNDARAM K,male,46.0,TN2024PC30
Theni,33,GEN,Tamil Nadu,Thanga Tamilselvan,Dravida Munnetra Kazhagam,1622949,1141219,70.30%,278825,24.40%,THANGAVEL,male,63.0,TN2024PC33
Thiruvallur,1,SC,Tamil Nadu,Sasikanth Senthil,Indian National Congress,2085991,1417812,68.00%,572155,40.40%,SHANMUGAM,male,44.0,TN2024PC01
Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,1458430,978526,67.10%,392738,40.10%,Karunanidhi,female,56.0,TN2024PC36
Tiruchirappall,24,GEN,Tamil Nadu,Durai Vaiko,Marumalarchi Dravida Munnetra Kazhagam,1553985,1055964,68.00%,313094,29.70%,Vaiko,male,51.0,TN2024PC24
Tirunelveli,38,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,1654503,1067448,64.50%,165620,15.50%,Chellappan,male,62.0,TN2024PC38
Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1608521,1142549,71.00%,125928,11.00%,Kuppusamy,male,76.0,TN2024PC18
Tiruvannamalai,11,GEN,Tamil Nadu,"Annadurai, C.N.",Dravida Munnetra Kazhagam,1533099,1146273,74.70%,233931,20.40%,C NATARAJAN,male,50.0,TN2024PC11
Vellore,8,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,1528273,1129458,73.90%,215702,19.10%,Duraimurugan,male,48.0,TN2024PC08
Viluppuram,13,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,1503115,1152667,76.70%,70703,6.10%,DURAISAMY,male,63.0,TN2024PC13
Virudhunagar,34,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,1501942,1061901,70.70%,4379,0.40%,BAGIRATHA NATCHIAPPAN,male,49.0,TN2024PC34
