ac no,ac name,type,district,winning candidate,party,total electors,total votes,votes %,margin,margin %,family relation,father/husband name,gender,age,UID
1,Simna,ST,West Tripura,Brishaketu Debbarma,Tipra Motha Party,,22757,64.89,,,,Rabindra Debbarma,male,43.0,TR2023AC01
2,Mohanpur,,West Tripura,Ratan Lal Nath,Bharatiya Janata Party,,19663,45.34,,,,Debendra Kumar Nath,male,72.0,TR2023AC02
3,Bamutia,SC,West Tripura,Nayan Sarkar,Communist Party of India (Marxist),,20119,46.39,,,,Lt. Haricharan Sarkar,male,32.0,TR2023AC03
4,Barjala,SC,West Tripura,Sudip Sarkar,Communist Party of India (Marxist),,21486,50.93,,,,Jatindra Chandra Sarkar,male,49.0,TR2023AC04
5,Khayerpur,,West Tripura,Ratan Chakraborty,Bharatiya Janata Party,,22453,47.48,,,,Lt. Fatik Chakraborty,male,72.0,TR2023AC05
6,Agartala,,West Tripura,Sudip Roy Barman,Indian National Congress,,26435,57.35,,,,Samir Ranjan Roy Barman,male,59.0,TR2023AC06
7,Ramnagar,,West Tripura,Surajit Datta,Bharatiya Janata Party,,17455,46.2,,,,Late Shashadhar Datta,male,71.0,TR2023AC07
8,Town Bordowali,,West Tripura,Manik Saha,Bharatiya Janata Party,,19586,49.77,,,,Lt. Makhan lal Saha,male,70.0,TR2023AC08
9,Banamalipur,,West Tripura,Gopal Chandra Roy,Indian National Congress,,17128,49.58,,,,Late Brajabashi Roy,male,72.0,TR2023AC09
10,Majlishpur,,West Tripura,Sushanta Chowdhury,Bharatiya Janata Party,,21349,46.8,,,,Shyamal Chowdhury,male,43.0,TR2023AC10
11,Mandaibazar,ST,West Tripura,Swapna Debbarma,Tipra Motha Party,,28726,66.35,,,,Mintu Debbarma,female,49.0,TR2023AC11
12,Takarjala,ST,Sipahijala district,Biswajit Kalai,Tipra Motha Party,,34717,86.81,,,,Buchiram Kalai,male,41.0,TR2023AC12
13,Pratapgarh,SC,West Tripura,Ramu Das,Communist Party of India (Marxist),,26422,49.61,,,,Late Sudhan Das,male,42.0,TR2023AC13
14,Badharghat,SC,West Tripura,Mina Rani Sarkar,Bharatiya Janata Party,,27427,48.94,,,,Late Manmohan Sarkar,female,58.0,TR2023AC14
15,Kamalasagar,,Sipahijala district,Antara Sarkar Deb,Bharatiya Janata Party,,19052,47.39,,,,Sri Tapan Kumar Deb,female,53.0,TR2023AC15
16,Bishalgarh,,Sipahijala district,Sushanta Deb,Bharatiya Janata Party,,22314,48.52,,,,Sankar Chandra Deb,male,33.0,TR2023AC16
17,Golaghati,ST,Sipahijala district,Manab Debbarma,Tipra Motha Party,,19800,50.79,,,,Lt. Sudhindra Debbarma,male,42.0,TR2023AC17
18,Suryamaninagar,,West Tripura district,Ram Prasad Paul,Bharatiya Janata Party,,24991,49.92,,,,Late Krishnadhan Paul,male,55.0,TR2023AC18
19,Charilam,ST,Sipahijala,Subodh Deb Barma,Tipra Motha Party,,13657,37.34,,,,Late Sushil Debbarma,male,51.0,TR2023AC19
20,Boxanagar,,Sipahijala,Samsul Haque,Communist Party of India (Marxist),,19404,50.34,,,,Lt. Ali Miah,male,67.0,TR2023AC20
21,Nalchar,SC,Sipahijala,Kishor Barman,Bharatiya Janata Party,,20836,49.95,,,,Amar Chand Barman,male,42.0,TR2023AC21
22,Sonamura,,Sipahijala,Shyamal Chakraborty,Communist Party of India (Marxist),,20039,50.47,,,,Late Upendra Chakraborty,male,67.0,TR2023AC22
23,Dhanpur,,Sipahijala,Pratima Bhoumik,Bharatiya Janata Party,,19148,42.25,,,,Late Debendra Kumar Bhowmik,female,53.0,TR2023AC23
24,Ramchandraghat,ST,Khowai,Ranjit Debbarma,Tipra Motha Party,,23143,60.87,,,,,,,TR2023AC24
25,Khowai,,Khowai,Nirmal Biswas,Communist Party of India (Marxist),,19696,49.73,,,,Late Nripendra Biswas,male,48.0,TR2023AC25
26,Asharambari,ST,Khowai,Animesh Debbarma,Tipra Motha Party,,23838,66.56,,,,Shri Rathindra Debbarma,male,53.0,TR2023AC26
27,Kalyanpur-Pramodenagar,,Khowai,Pinaki Das Chowdhury,Bharatiya Janata Party,,17903,43.59,,,,Late Prankrishna Das Chowdhury,male,46.0,TR2023AC27
28,Teliamura,,Khowai,Kalyani Saha Roy,Bharatiya Janata Party,,16755,42.1,,,,DINESH CHANDRA SAHA,female,55.0,TR2023AC28
29,Krishnapur,ST,Khowai,Bikash Debbarma,Bharatiya Janata Party,,13800,39.97,,,,Suresh Debbarma,male,54.0,TR2023AC29
30,Bagma,ST,Gomati district,Ram Pada Jamatia,Bharatiya Janata Party,,19482,38.74,,,,Nimai Pada Jamatia,male,66.0,TR2023AC30
31,Radhakishorpur,,Gomati district,Pranajit Singha Roy,Bharatiya Janata Party,,24421,56.07,,,,Jogendra Chandra Singha Roy,male,62.0,TR2023AC31
32,Matarbari,,Gomati district,Abhishek Debroy,Bharatiya Janata Party,,25494,51.06,,,,Himangshu Debroy,male,40.0,TR2023AC32
33,Kakraban-Salgarh,SC,Gomati district,Jitendra Majumder,Bharatiya Janata Party,,23625,48.17,,,,Lt. Radha Krishna Majumder,male,69.0,TR2023AC33
34,Rajnagar,SC,South Tripura,Swapna Majumder,Bharatiya Janata Party,,20849,48.07,,,,W/O ASIM MAJUMDER,female,48.0,TR2023AC34
35,Belonia,,South Tripura,Dipankar Sen,Communist Party of India (Marxist),,20016,48.27,,,,LATE NARENDRA KISHORE SEN,male,59.0,TR2023AC35
36,Santirbazar,ST,South Tripura,Pramod Reang,Bharatiya Janata Party,,18709,40.04,,,,CHITUR REANG,male,42.0,TR2023AC36
37,Hrishyamukh,,South Tripura,Asoke Chandra Mitra,Communist Party of India (Marxist),,19986,46.37,,,,,,,TR2023AC37
38,Jolaibari,ST,South Tripura,Sukla Charan Noatia,Indigenous People's Front of Tripura,,17621,38.54,,,,Late. RASHMANI NOATIA,male,30.0,TR2023AC38
39,Manu,ST,South Tripura,Mailafru Mog,Bharatiya Janata Party,,15469,34.5,,,,Kejari Mog,male,52.0,TR2023AC39
40,Sabroom,,South Tripura,Jitendra Chaudhury,Communist Party of India (Marxist),,21801,49.02,,,,Late Matahari Chaudhury,male,64.0,TR2023AC40
41,Ampinagar,ST,Gomati,Pathan Lal Jamatia,Tipra Motha Party,,21525,57.03,,,,LATE BICHITRA SADHAN JAMATIA,male,41.0,TR2023AC41
42,Amarpur,,Gomati,Ranjit Das,Bharatiya Janata Party,,17989,44.21,,,,Late Ramesh Das,male,58.0,TR2023AC42
43,Karbook,ST,Gomati,Sanjoy Manik Tripura,Tipra Motha Party,,16647,44.88,,,,Biswa Manik Tripura,male,44.0,TR2023AC43
44,Raima Valley,ST,Dhalai,Nandita Debbarma Reang,Tipra Motha Party,,19269,40.66,,,,,,,TR2023AC44
45,Kamalpur,,Dhalai,Manoj Kanti Deb,Bharatiya Janata Party,,18287,45.16,,,,Late Madhusudan Deb,male,52.0,TR2023AC45
46,Surma,SC,Dhalai,Swapna Das Paul,Bharatiya Janata Party,,17313,40.3,,,,Paritosh Paul,female,48.0,TR2023AC46
47,Ambassa,ST,Dhalai,Chitta Ranjan Debbarma,Tipra Motha Party,,15317,33.27,,,,ABHIMOHAN DEBBARMA,male,62.0,TR2023AC47
48,Karamcherra,ST,Dhalai,Paul Dangshu,Tipra Motha Party,,20496,52.73,,,,Late Pratap Dangshu,male,31.0,TR2023AC48
49,Chawamanu,ST,Dhalai,Sambhu Lal Chakma,Bharatiya Janata Party,,16644,41.85,,,,Kripamoy Chakma,male,33.0,TR2023AC49
50,Pabiachhara,SC,Unakoti,Bhagaban Das,Bharatiya Janata Party,,19542,44.46,,,,,,,TR2023AC50
51,Fatikroy,SC,Unakoti,Sudhangshu Das,Bharatiya Janata Party,,19570,49.96,,,,Late Indubhushan Das,male,35.0,TR2023AC51
52,Chandipur,,Unakoti,Tinku Roy,Bharatiya Janata Party,,17395,42.68,,,,Manoranjan Roy,male,47.0,TR2023AC52
53,Kailashahar,,Unakoti,Birajit Sinha,Indian National Congress,,25300,59.62,,,,Bijoy Sinha,male,71.0,TR2023AC53
54,Kadamtala-Kurti,,North Tripura,Islam Uddin,Communist Party of India (Marxist),,20012,49.65,,,,Late Abdul Chattar,male,49.0,TR2023AC54
55,Bagbassa,,North Tripura,Jadab Lal Debnath,Bharatiya Janata Party,,18905,47.41,,,,Late Akshay Kumar Debnath,male,55.0,TR2023AC55
56,Dharmanagar,,North Tripura,Biswa Bandhu Sen,Bharatiya Janata Party,,18684,49.35,,,,Kalimohan Sen,male,69.0,TR2023AC56
57,Jubarajnagar,,North Tripura,Sailendra Chandra Nath,Communist Party of India (Marxist),,19386,49.29,,,,Late Tarani Kumar Nath,male,56.0,TR2023AC57
58,Panisagar,,North Tripura,Binay Bhushan Das,Bharatiya Janata Party,,15745,41.61,,,,Late Birendra Kumar Das,male,63.0,TR2023AC58
59,Pencharthal,ST,North Tripura,Santana Chakma,Bharatiya Janata Party,,17781,45.5,,,,CHANDRA DHAN CHAKMA,female,38.0,TR2023AC59
60,Kanchanpur,ST,North Tripura,Philip Kumar Reang,Tipra Motha Party,,15413,36.44,,,,DRAO KUMAR REANG,male,38.0,TR2023AC60
